Name	ED	Dataset	Stirparo.lineage	Author.lineage	Branches	clusterUmap	EDfactor	finalClusters	sample_name	day	sex	dataset
D10_IVC4_E1_B1_1	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_1	10	female	zhou
D10_IVC4_E1_B1_10	10	Zhou				Zhou	10	TB.medium2	D10_IVC4_E1_B1_10	10	female	zhou
D10_IVC4_E1_B1_12	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_12	10	female	zhou
D10_IVC4_E1_B1_13	10	Zhou				Zhou	10	Pre.ST	D10_IVC4_E1_B1_13	10	female	zhou
D10_IVC4_E1_B1_15	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_15	10	female	zhou
D10_IVC4_E1_B1_16	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_16	10	female	zhou
D10_IVC4_E1_B1_18	10	Zhou				Zhou	10	Pre.ST	D10_IVC4_E1_B1_18	10	female	zhou
D10_IVC4_E1_B1_19	10	Zhou				Zhou	10	TB.medium3	D10_IVC4_E1_B1_19	10	female	zhou
D10_IVC4_E1_B1_20	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_20	10	female	zhou
D10_IVC4_E1_B1_22	10	Zhou				Zhou	10	Pre.ST	D10_IVC4_E1_B1_22	10	female	zhou
D10_IVC4_E1_B1_24	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_24	10	female	zhou
D10_IVC4_E1_B1_25	10	Zhou				Zhou	10	Pre.ST	D10_IVC4_E1_B1_25	10	female	zhou
D10_IVC4_E1_B1_27	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_27	10	female	zhou
D10_IVC4_E1_B1_28	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_28	10	female	zhou
D10_IVC4_E1_B1_29	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_29	10	female	zhou
D10_IVC4_E1_B1_3	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_3	10	female	zhou
D10_IVC4_E1_B1_30	10	Zhou				Zhou	10	TB.late	D10_IVC4_E1_B1_30	10	female	zhou
