study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB11202	ERP012552	SAMEA3580774	ERS887923	ERX1120885	ERR1041403	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.1.443		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	4941064	212465752	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.1.443	E-MTAB-3929:E3.1.443	213013055	e3d82091cd2f491f29953d690938bdf5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041403/ERR1041403.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/003/ERR1041403/ERR1041403.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041403/ERR1041403.fastq.gz	193726399	9d6b0b1a90a579925d667d7fa625bf13	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041403/E3.1.443.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041403/E3.1.443.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041403/E3.1.443.fastq.gz	FASTQ	241643110	e2508b8315fbc0f0c0c76366a77cb4eb	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041403	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/003/ERR1041403	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041403				E-MTAB-3929:E3.1.443	ArrayExpress	E3.1.443		2015-10-02
PRJEB11202	ERP012552	SAMEA3580775	ERS887924	ERX1120886	ERR1041404	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.1.444		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	2286825	98333475	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.1.444	E-MTAB-3929:E3.1.444	104940969	5944221007e0ce09d4f324dd91aa2ceb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041404/ERR1041404.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/004/ERR1041404/ERR1041404.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041404/ERR1041404.fastq.gz	96080087	6b0193a875a2275b2415d47f2156dbb6	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041404/E3.1.444.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041404/E3.1.444.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041404/E3.1.444.fastq.gz	FASTQ	115738326	9f5920376d73e6baee2083260d4a12ed	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041404	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/004/ERR1041404	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041404				E-MTAB-3929:E3.1.444	ArrayExpress	E3.1.444		2015-10-02
PRJEB11202	ERP012552	SAMEA3580776	ERS887925	ERX1120887	ERR1041405	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.1.445		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	5453345	234493835	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.1.445	E-MTAB-3929:E3.1.445	215672293	172c6e61ce4ea5be4a977af7bb5380fd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041405/ERR1041405.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/005/ERR1041405/ERR1041405.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041405/ERR1041405.fastq.gz	194090911	23caf571c85f4ef4a35b31ea232270fe	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041405/E3.1.445.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041405/E3.1.445.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041405/E3.1.445.fastq.gz	FASTQ	256257954	b13891de78dc782409f3af105a1dd383	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041405	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/005/ERR1041405	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041405				E-MTAB-3929:E3.1.445	ArrayExpress	E3.1.445		2015-10-02
PRJEB11202	ERP012552	SAMEA3580777	ERS887926	ERX1120888	ERR1041406	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.1.447		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	4886841	210134163	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.1.447	E-MTAB-3929:E3.1.447	200469117	20de3e4b56ad523980f6f18fd8c6d271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041406/ERR1041406.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/006/ERR1041406/ERR1041406.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041406/ERR1041406.fastq.gz	181333514	5c36da5c6ad9eed97e3ba66e512b1882	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041406/E3.1.447.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041406/E3.1.447.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041406/E3.1.447.fastq.gz	FASTQ	232320853	d9c4a08d63e5336a7837fbd09dc617d9	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041406	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/006/ERR1041406	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041406				E-MTAB-3929:E3.1.447	ArrayExpress	E3.1.447		2015-10-02
PRJEB11202	ERP012552	SAMEA3580778	ERS887927	ERX1120889	ERR1041407	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.1.448		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	2383241	102479363	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.1.448	E-MTAB-3929:E3.1.448	108308641	6aa15f248f5ef341a92b7bef99091f41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041407/ERR1041407.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/007/ERR1041407/ERR1041407.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041407/ERR1041407.fastq.gz	99075924	cc8dc52d6f89497913f58134823a54c3	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041407/E3.1.448.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041407/E3.1.448.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041407/E3.1.448.fastq.gz	FASTQ	120009316	af0a5556fdb2309f402faf3b1d28aba4	ftp.sra.ebi.ac.uk/vol1/err/ERR104/007/ERR1041407	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/007/ERR1041407	ftp.sra.ebi.ac.uk/vol1/err/ERR104/007/ERR1041407				E-MTAB-3929:E3.1.448	ArrayExpress	E3.1.448		2015-10-02
PRJEB11202	ERP012552	SAMEA3580779	ERS887928	ERX1120890	ERR1041408	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.2.449		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	3857107	165855601	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.2.449	E-MTAB-3929:E3.2.449	169773373	ad92f08eadffcdb4f546c39b6914df7f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041408/ERR1041408.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/008/ERR1041408/ERR1041408.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041408/ERR1041408.fastq.gz	154791053	f0f37d57d393647b531ad69ef06a84e7	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041408/E3.2.449.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041408/E3.2.449.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041408/E3.2.449.fastq.gz	FASTQ	190477057	fc59ee8e44727690f69f94321dc8de0a	ftp.sra.ebi.ac.uk/vol1/err/ERR104/008/ERR1041408	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/008/ERR1041408	ftp.sra.ebi.ac.uk/vol1/err/ERR104/008/ERR1041408				E-MTAB-3929:E3.2.449	ArrayExpress	E3.2.449		2015-10-02
PRJEB11202	ERP012552	SAMEA3580780	ERS887929	ERX1120891	ERR1041409	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.2.450		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	4788791	205918013	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.2.450	E-MTAB-3929:E3.2.450	196488312	e891bac3d568766f8cebf047477d239c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041409/ERR1041409.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/009/ERR1041409/ERR1041409.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041409/ERR1041409.fastq.gz	177703383	52415c8459cfd159b669965550364475	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041409/E3.2.450.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041409/E3.2.450.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041409/E3.2.450.fastq.gz	FASTQ	227766866	234a981f4bc34ce8947439081155beee	ftp.sra.ebi.ac.uk/vol1/err/ERR104/009/ERR1041409	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/009/ERR1041409	ftp.sra.ebi.ac.uk/vol1/err/ERR104/009/ERR1041409				E-MTAB-3929:E3.2.450	ArrayExpress	E3.2.450		2015-10-02
PRJEB11202	ERP012552	SAMEA3580781	ERS887930	ERX1120892	ERR1041410	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.2.452		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	9414506	404823758	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.2.452	E-MTAB-3929:E3.2.452	375655382	6e140c768a9e3e1a44a8165c5ce4324a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041410/ERR1041410.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/000/ERR1041410/ERR1041410.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041410/ERR1041410.fastq.gz	338308221	14bf1e1c9c8712613c3bd535a859aa85	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041410/E3.2.452.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041410/E3.2.452.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041410/E3.2.452.fastq.gz	FASTQ	441507890	1eda82c65bf878399278f0181f24f8d3	ftp.sra.ebi.ac.uk/vol1/err/ERR104/000/ERR1041410	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/000/ERR1041410	ftp.sra.ebi.ac.uk/vol1/err/ERR104/000/ERR1041410				E-MTAB-3929:E3.2.452	ArrayExpress	E3.2.452		2015-10-02
PRJEB11202	ERP012552	SAMEA3580782	ERS887931	ERX1120893	ERR1041411	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.2.453		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	12015105	516649515	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.2.453	E-MTAB-3929:E3.2.453	478011679	386baa463256159377f4bff4f737f507	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041411/ERR1041411.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/001/ERR1041411/ERR1041411.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041411/ERR1041411.fastq.gz	430305416	85d6c4cc02ea04db4dba8bf97f04132c	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041411/E3.2.453.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041411/E3.2.453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041411/E3.2.453.fastq.gz	FASTQ	562379275	c8cc9fed2b1fa2b4df4f47fc2fbab41e	ftp.sra.ebi.ac.uk/vol1/err/ERR104/001/ERR1041411	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/001/ERR1041411	ftp.sra.ebi.ac.uk/vol1/err/ERR104/001/ERR1041411				E-MTAB-3929:E3.2.453	ArrayExpress	E3.2.453		2015-10-02
PRJEB11202	ERP012552	SAMEA3580783	ERS887932	ERX1120894	ERR1041412	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E3.2.454		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	6603904	283967872	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E3.2.454	E-MTAB-3929:E3.2.454	261172987	861b40dc3a57e813aebbca11612ae04e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041412/ERR1041412.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/002/ERR1041412/ERR1041412.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041412/ERR1041412.fastq.gz	235200813	ad68466b59f21a19b0577ec795f43a16	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041412/E3.2.454.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041412/E3.2.454.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041412/E3.2.454.fastq.gz	FASTQ	308607459	1885ad53d6d2159d9522a657639558a5	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041412	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/002/ERR1041412	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041412				E-MTAB-3929:E3.2.454	ArrayExpress	E3.2.454		2015-10-02
