Name	gene	snp	xi_mean_fraction_pxgl_siScr	dp_mean_pxgl_siScr	xi_mean_fraction_pxgl_siSPEN_1	dp_mean_pxgl_siSPEN_1	pval	sd_1	sd_2
1	ALG13	111760130	0.20906432748538	14	0.310117302052786	23	0.296642658713168	0.0416858989163253	0.125662048249358
2	BCOR	40073654	0.277677223554239	239	0.317608299873702	240	0.14715095345559	0.0300400823449061	0.00226667077799075
3	CA5BP1-CA5B	15702622	0.37027027027027	38	0.492914653784219	47	0.160119228265364	0.101378374775735	0.0544852440549139
4	CD99L2	150766627	0.376377217553688	26	0.387157287157287	24	0.892170271434516	0.0904030253436977	0.0924486553251544
5	CDK16	47229341	0	361	0	411	NA	NA	NA
6	CDKL5	18630909	0.467206956288703	52	0.426596886741814	36	0.508782796841563	0.0244720085683997	0.087167184336428
7	CHIC1	73683411	0.0101010101010101	26	0.0606060606060606	21	0.493524799149407	0.0174954627027159	0.104972776216296
8	CHM	85861890	0.287885304659498	23	0.455681818181818	19	0.0952219887600389	0.0467143769459734	0.106254557510422
9	CHM	85964016	0.412655570550307	30	0.442929292929293	25	0.613719213952668	0.0576107361572344	0.0760046476113444
10	CTPS2	16589265	0.157788410419989	15	0.292034762622998	17	0.317174879651158	0.13736875837597	0.149993424279561
11	DDX3X	41338289	0.426455026455026	44	0.480985340741438	35	0.518576693494971	0.107484268899242	0.0771881599686864
12	DDX3X	41338449	0.42140768588137	58	0.499166615726308	56	0.0579090685884692	0.0250223935149761	0.0403118273793666
13	DDX3X	41339462	0.489221419561977	36	0.490643274853801	29	0.990066784832403	0.056449186751967	0.16982540717976
14	DDX3X	41339955	0.35326278659612	28	0.430237358101135	28	0.454086011735812	0.061943942137738	0.140388168117027
15	DDX3X	41340373	0.409841954022989	31	0.45737556561086	33	0.547243536765593	0.114327444608742	0.0157132845541634
16	DDX3X	41340559	0.420748705694942	40	0.543121693121693	39	0.168476947911267	0.0734945081759642	0.0997172032205266
17	DDX3X	41341905	0.481481481481481	25	0.371212121212121	21	0.263538778239564	0.0320750149549792	0.125172057892866
18	DDX3X	41342906	0.403263403263403	43	0.453667953667954	33	0.271969657028334	0.0544302770575087	0.040171142947268
19	DDX3X	41343476	0.390103728623493	35	0.505574136008919	31	0.336449962618216	0.159713100587382	0.0304849697076373
20	DDX3X	41343866	0.382192537364951	34	0.515891778303126	29	0.258497293703129	0.00581790195557812	0.148217991796553
21	DDX3X	41344423	0.542246642246642	14	0.611305361305361	12	0.685696661292955	0.239135606246433	0.120163961480464
22	DDX3X	41344625	0.655336257309941	18	0.512215320910973	17	0.132048624350271	0.0877215825725957	0.0972309280784586
23	DDX3X	41344665	0.385470085470085	21	0.412625238183048	19	0.703990204918754	0.0466027551460362	0.101576385592565
24	DDX3X	41344803	0.388888888888889	19	0.457264957264957	20	0.40262599967055	0.0962250448649376	0.0817360062005776
25	DLG3	70504881	0.302090737456947	143	0.386691136702088	136	0.0873570747743444	0.0106089655523687	0.0482999745962603
26	DMD	31120472	0.0901270043990351	65	0.0890188434048083	46	0.981794955459009	0.0567098988753665	0.0550861925644464
